Date,Location,Site,Observer,Depth (m),Visibility (m),Replicate,Interval,Genus,Species,Scientific Name,Count,Size Est (cm)
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,4,5
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,1,6
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,1,5
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,2,7
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,1,6
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Stethojulis,strigiventer,Stethojulis strigiventer,1,8
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2,5
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,4,7
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2,5
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1,8
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1,8
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,3,7
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,2,5
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,4,9
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,2,7
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,1,3
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,1,9
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Chrysiptera,rex,Chrysiptera rex,2,4
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Pomacentrus,coelestis,Pomacentrus coelestis,2,3
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Pomacentrus,coelestis,Pomacentrus coelestis,3,3
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,1,6
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1,7
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,8,7
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,3,6
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,4,8
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Halichoeres,marginatus,Halichoeres marginatus,1,8
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Halichoeres,marginatus,Halichoeres marginatus,1,12
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Halichoeres,marginatus,Halichoeres marginatus,1,7
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Halichoeres,marginatus,Halichoeres marginatus,1,9
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,2,6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2,8
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,4,7
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,2,7
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,2,5
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,1,6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,7,3
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,1,2
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Chrysiptera,rex,Chrysiptera rex,5,4
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,5,6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Thalassoma,lunare,Thalassoma lunare,1,9
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,adelus,Pomacentrus adelus,2,7
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,adelus,Pomacentrus adelus,1,6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,adelus,Pomacentrus adelus,3,7
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Halichoeres,melanurus,Halichoeres melanurus,1,5
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Acanthochromis,polyacanthus,Acanthochromis polyacanthus,1,10
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,2,5
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,1,7
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,6,6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,3,3
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,3,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,2,2
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Stethojulis,strigiventer,Stethojulis strigiventer,1,13
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Zanclus,cornutus,Zanclus cornutus,1,11
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,2,6
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,1,7
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Pomacentrus,adelus,Pomacentrus adelus,1,7
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Pomacentrus,adelus,Pomacentrus adelus,1,8
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Pomacentrus,adelus,Pomacentrus adelus,2,7
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2,9
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2,7
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,1,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,2,8
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
